director,duration,film_name,genre,rank,star,year
Curtis Hanson,138 min,L.A. Confidential,"Crime, Drama, Mystery",78,8.3,1997
Gus Van Sant,126 min,Good Will Hunting,"Drama, Romance",79,8.3,1997
Michael Mann,170 min,Heat,"Action, Crime, Drama",80,8.3,1995
Quentin Tarantino,99 min,Reservoir Dogs,"Crime, Drama, Thriller",81,8.3,1992
Stanley Kubrick,116 min,Full Metal Jacket,"Drama, War",82,8.3,1987
Brian De Palma,170 min,Scarface,"Crime, Drama",83,8.3,1983
Martin Scorsese,114 min,Taxi Driver,"Crime, Drama",84,8.3,1976
George Roy Hill,129 min,The Sting,"Comedy, Crime, Drama",85,8.3,1973
Robert Mulligan,129 min,To Kill a Mockingbird,"Crime, Drama",86,8.3,1962
David Lean,218 min,Lawrence of Arabia,"Adventure, Biography, Drama",87,8.3,1962
Stanley Kramer,179 min,Judgment at Nuremberg,"Drama, War",88,8.3,1961
Billy Wilder,125 min,The Apartment,"Comedy, Drama, Romance",89,8.3,1960
Satyajit Ray,125 min,Pather Panchali,Drama,90,8.3,1955
Akira Kurosawa,143 min,Ikiru,Drama,91,8.3,1952
Joseph L. Mankiewicz,138 min,All About Eve,Drama,92,8.3,1950
Vittorio De Sica,89 min,Bicycle Thieves,Drama,93,8.3,1948
Billy Wilder,107 min,Double Indemnity,"Crime, Drama, Film-Noir",94,8.3,1944
Orson Welles,119 min,Citizen Kane,"Drama, Mystery",95,8.3,1941
Fritz Lang,153 min,Metropolis,"Drama, Sci-Fi",96,8.3,1927
Charles Chaplin,68 min,The Kid,"Comedy, Drama, Family",97,8.3,1921
Peter Farrelly,130 min,Green Book,"Biography, Comedy, Drama",98,8.2,2018
Pete Docter,95 min,Inside Out,"Animation, Adventure, Comedy",99,8.2,2015
Juan José Campanella,129 min,The Secret in Their Eyes,"Drama, Mystery, Romance",100,8.2,2009
Gavin O'Connor,140 min,Warrior,"Action, Drama, Sport",101,8.2,2011
Martin Scorsese,180 min,The Wolf of Wall Street,"Biography, Comedy, Crime",102,8.2,2013
Ethan Coen,122 min,No Country for Old Men,"Crime, Drama, Thriller",103,8.2,2007
Paul Thomas Anderson,158 min,There Will Be Blood,Drama,104,8.2,2007
Guillermo del Toro,118 min,Pan's Labyrinth,"Drama, Fantasy, War",105,8.2,2006
James McTeigue,132 min,V for Vendetta,"Action, Drama, Sci-Fi",106,8.2,2005
Oliver Hirschbiegel,156 min,Downfall,"Biography, Drama, History",107,8.2,2004
Ron Howard,135 min,A Beautiful Mind,"Biography, Drama",108,8.2,2001
Quentin Tarantino,111 min,Kill Bill: Vol. 1,"Action, Crime, Drama",109,8.2,2003
M. Night Shyamalan,107 min,The Sixth Sense,"Drama, Mystery, Thriller",110,8.2,1999
Peter Weir,103 min,The Truman Show,"Comedy, Drama",111,8.2,1998
Majid Majidi,89 min,Children of Heaven,"Drama, Family, Sport",112,8.2,1997
Danny Boyle,93 min,Trainspotting,Drama,113,8.2,1996
Martin Scorsese,178 min,Casino,"Crime, Drama",114,8.2,1995
Clint Eastwood,130 min,Unforgiven,"Drama, Western",115,8.2,1992
Akira Kurosawa,162 min,Ran,"Action, Drama, War",116,8.2,1985
Martin Scorsese,129 min,Raging Bull,"Biography, Drama, Sport",117,8.2,1980
David Lynch,124 min,The Elephant Man,"Biography, Drama",118,8.2,1980
Akira Kurosawa,142 min,Dersu Uzala,"Adventure, Biography, Drama",119,8.2,1975
Roman Polanski,130 min,Chinatown,"Drama, Mystery, Thriller",120,8.2,1974
John Sturges,172 min,The Great Escape,"Adventure, Drama, History",121,8.2,1963
Akira Kurosawa,110 min,Yojimbo,"Action, Drama, Thriller",122,8.2,1961
Ingmar Bergman,91 min,Wild Strawberries,"Drama, Romance",123,8.2,1957
David Lean,161 min,The Bridge on the River Kwai,"Adventure, Drama, War",124,8.2,1957
Yasujirô Ozu,136 min,Tokyo Story,Drama,125,8.2,1953
Henri-Georges Clouzot,131 min,The Wages of Fear,"Adventure, Drama, Thriller",126,8.2,1953
Akira Kurosawa,88 min,Rashomon,"Crime, Drama, Mystery",127,8.2,1950
John Huston,126 min,The Treasure of the Sierra Madre,"Adventure, Drama, Western",128,8.2,1948
Victor Fleming,238 min,Gone with the Wind,"Drama, History, Romance",129,8.2,1939
Carl Theodor Dreyer,114 min,The Passion of Joan of Arc,"Biography, Drama, History",130,8.2,1928
Clyde Bruckman,67 min,The General,"Action, Adventure, Comedy",131,8.2,1926
Charles Chaplin,95 min,The Gold Rush,"Adventure, Comedy, Drama",132,8.2,1925
Martin McDonagh,115 min,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",133,8.1,2017
Park Chan-wook,145 min,The Handmaiden,"Drama, Romance, Thriller",134,8.1,2016
James Mangold,137 min,Logan,"Action, Drama, Sci-Fi",135,8.1,2017
Lenny Abrahamson,118 min,Room,"Drama, Thriller",136,8.1,2015
Damián Szifron,122 min,Wild Tales,"Comedy, Drama, Thriller",137,8.1,2014
David Fincher,149 min,Gone Girl,"Drama, Mystery, Thriller",138,8.1,2014
Mel Gibson,139 min,Hacksaw Ridge,"Biography, Drama, History",139,8.1,2016
Steve McQueen,134 min,12 Years a Slave,"Biography, Drama, History",140,8.1,2013
Ron Howard,123 min,Rush,"Action, Biography, Drama",141,8.1,2013
James Mangold,152 min,Ford v Ferrari,"Action, Biography, Drama",142,8.1,2019
Tom McCarthy,129 min,Spotlight,"Biography, Crime, Drama",143,8.1,2015
Tate Taylor,146 min,The Help,Drama,144,8.1,2011
Denis Villeneuve,153 min,Prisoners,"Crime, Drama, Mystery",145,8.1,2013
Clint Eastwood,116 min,Gran Torino,Drama,146,8.1,2008
Denis Villeneuve,155 min,Dune,"Action, Adventure, Drama",147,8.1,2021
Lasse Hallström,93 min,Hachi: A Dog's Tale,"Biography, Drama, Family",148,8.1,2009
Adam Elliot,92 min,Mary and Max,"Animation, Comedy, Drama",149,8.1,2009
Sean Penn,148 min,Into the Wild,"Adventure, Biography, Drama",150,8.1,2007
Clint Eastwood,132 min,Million Dollar Baby,"Drama, Sport",151,8.1,2004
Terry George,121 min,Hotel Rwanda,"Biography, Drama, History",152,8.1,2004
Richard Linklater,80 min,Before Sunset,"Drama, Romance",153,8.1,2004
Bong Joon Ho,132 min,Memories of Murder,"Crime, Drama, Mystery",154,8.1,2003
Steven Spielberg,141 min,Catch Me If You Can,"Biography, Crime, Drama",155,8.1,2002
Alejandro G. Iñárritu,154 min,Amores perros,"Drama, Thriller",156,8.1,2000
Mathieu Kassovitz,98 min,La Haine,"Crime, Drama",157,8.1,1995
Richard Linklater,101 min,Before Sunrise,"Drama, Romance",158,8.1,1995
Jim Sheridan,133 min,In the Name of the Father,"Biography, Crime, Drama",159,8.1,1993
Harold Ramis,101 min,Groundhog Day,"Comedy, Drama, Fantasy",160,8.1,1993
Kevin Costner,181 min,Dances with Wolves,"Adventure, Drama, Western",161,8.1,1990
Peter Weir,128 min,Dead Poets Society,"Comedy, Drama",162,8.1,1989
Rob Reiner,89 min,Stand by Me,"Adventure, Drama",163,8.1,1986
Oliver Stone,120 min,Platoon,"Drama, War",164,8.1,1986
Richard Attenborough,191 min,Gandhi,"Biography, Drama",165,8.1,1982
Ridley Scott,117 min,Blade Runner,"Action, Drama, Sci-Fi",166,8.1,1982
Michael Cimino,183 min,The Deer Hunter,"Drama, War",167,8.1,1978
John G. Avildsen,120 min,Rocky,"Drama, Sport",168,8.1,1976
Sidney Lumet,121 min,Network,Drama,169,8.1,1976
Stanley Kubrick,185 min,Barry Lyndon,"Adventure, Drama, History",170,8.1,1975
Stuart Rosenberg,127 min,Cool Hand Luke,"Crime, Drama",171,8.1,1967
Ingmar Bergman,83 min,Persona,"Drama, Thriller",172,8.1,1966
Robert Wise,172 min,The Sound of Music,"Biography, Drama, Family",173,8.1,1965
Gillo Pontecorvo,121 min,The Battle of Algiers,"Drama, War",174,8.1,1966
François Truffaut,99 min,The 400 Blows,"Crime, Drama",175,8.1,1959
William Wyler,212 min,Ben-Hur,"Adventure, Drama, History",176,8.1,1959
Ingmar Bergman,96 min,The Seventh Seal,"Drama, Fantasy, History",177,8.1,1957
Elia Kazan,108 min,On the Waterfront,"Crime, Drama, Thriller",178,8.1,1954
William Wyler,170 min,The Best Years of Our Lives,"Drama, Romance, War",179,8.1,1946
Alfred Hitchcock,130 min,Rebecca,"Drama, Film-Noir, Mystery",180,8.1,1940
John Ford,129 min,The Grapes of Wrath,Drama,181,8.1,1940
Frank Capra,129 min,Mr. Smith Goes to Washington,"Comedy, Drama",182,8.1,1939
